index,cont,map
0,서대문노블루체,1
1,은빛1단지,2
2,부영,3
3,청광플러스원,4
4,신공덕1차삼성래미안1아파트,5
5,테헤란로대우아이빌(891-6),6
6,문래우정,7
7,우성아파트2,8
8,서울숲한양현대,9
9,엘에이치강남아이파크,10
10,개포주공 1단지,11
11,청계 지웰,12
12,이촌동삼성리버스위트,13
13,각산,14
14,역삼푸르지오,15
15,장미2,16
16,광화문풍림스페이스본(106동),17
17,유진빌라,18
18,관악산벽산타운5,19
19,강서힐스테이트,20
20,브라운스톤,21
21,힐스테이트 상도 프레스티지,22
22,서희스타힐스,23
23,진도3차아파트,24
24,신내9진흥,25
25,상계주공11(고층),26
26,래미안 영등포 프레비뉴,27
27,신영,28
28,쌍용스위닷홈(201동),29
29,현대(관악),30
30,봉천우성,31
31,우방1,32
32,일두(1021),33
33,효창드림빌,34
34,서광등촌마을2,35
35,창동주공3단지(해등마을),36
36,목동신시가지13,37
37,센트라스아파트,38
38,프라이어팰리스,39
39,청운명가프라임,40
40,방화그린,41
41,성원,42
42,대림아파트(276),43
43,현대홈타운,44
44,한양5,45
45,현대,46
46,창신쌍용1,47
47,거여1단지,48
48,현대(220-2),49
49,신성미소지움,50
50,라이프미성,51
51,삼익,52
52,풍림(1차),53
53,이랜드 타운아파트,54
54,중계그린1단지,55
55,두산,56
56,예미원,57
57,대원그린아파트,58
58,등촌동아이파크,59
59,동아,60
60,청구,61
61,벽산블루밍,62
62,개포우성1,63
63,청원,64
64,염리삼성래미안,65
65,한진(609-1),66
66,래미안그레이튼,67
67,북가좌삼호,68
68,한가람,69
69,DMC한양,70
70,현대I-PARK,71
71,래미안청담로이뷰,72
72,부영2,73
73,궁전,74
74,신한엔시모,75
75,현대힐스테이트 2단지,76
76,풍림아파트A,77
77,자양10차현대홈타운,78
78,청솔아파트9,79
79,"현대(1,2차)",80
80,"대성3,4호(379-58,나동)",81
81,두산위브,82
82,신금호파크자이,83
83,보라매갑을,84
84,대림2,85
85,현대5,86
86,세림,87
87,우성사원5,88
88,신트리1,89
89,강남데시앙포레,90
90,한양I-Class,91
91,상계주공14(고층),92
92,전농SK,93
93,수유프리미어엠,94
94,주공5,95
95,한일,96
96,수락파크빌,97
97,아크로리버파크,98
98,선사현대아파트,99
99,길음뉴타운9단지(래미안),100
100,은천2단지아파트,101
101,벽산,102
102,삼성파크빌(39-1),103
103,문정대우푸르지오,104
104,동부골든,105
105,관악드림(삼성),106
106,상계주공4(고층),107
107,안암골벽산,108
108,청담린든그로브,109
109,현대4,110
110,당산계룡리슈빌3단지,111
111,길음 서희스타힐스,112
112,신림현대,113
113,거여4단지,114
114,가양도시개발9-2단지,115
115,신림푸르지오,116
116,길음뉴타운3단지푸르지오,117
117,건영4,118
118,까치마을,119
119,가양6단지,120
120,명남더블레스(19-162),121
121,대상타운현대아파트,122
122,방화4단지,123
123,방화12도시개발공사,124
124,자양2현대,125
125,신림2차푸르지오,126
126,상계주공1(고층),127
127,성원대치2단지아파트,128
128,면목동금호어울림아파트,129
129,한진한화그랑빌,130
130,상암월드컵파크2단지,131
131,임광,132
132,북한산대창센시티,133
133,장안현대홈타운(336),134
134,중앙화곡하이츠,135
135,정릉e-편한세상,136
136,상계신동아,137
137,산내들,138
138,삼익아파트,139
139,동서울오네뜨,140
140,동양엔파트,141
141,상암월드컵파크5단지,142
142,신동아5,143
143,남산 SK LEADERS VIEW,144
144,롯데캐슬,145
145,경남2,146
146,창동주공4단지,147
147,한신,148
148,현대8차(성수현대:91~95동),149
149,북한산 코오롱 하늘채,150
150,탑스빌,151
151,한신아파트,152
152,반포자이,153
153,현대1,154
154,우성,155
155,상암월드컵파크3단지,156
156,강일리버파크3단지,157
157,삼선푸르지오,158
158,공덕1삼성래미안,159
159,주공아파트 5단지,160
160,영등포그랑그루,161
161,현대프라임,162
162,염광,163
163,그린빌아파트,164
164,래미안서초스위트,165
165,지오베르크,166
166,대림1,167
167,LIG 대학마을(건영아파트3차),168
168,리센츠,169
169,건영캐스빌,170
170,서울숲 한신 더 휴,171
171,보라매경남아너스빌,172
172,서초롯데캐슬프레지던트,173
173,수락한신,174
174,자양현대5,175
175,방학E.S.A1아파트,176
176,래미안월곡,177
177,태솔캡슬,178
178,상계주공13(고층),179
179,롯데캐슬피렌체,180
180,위례22단지(비발디),181
181,동부센트레빌,182
182,"가락3차쌍용스윗닷홈 101동, 102동",183
183,수유벽산1차,184
184,벽산늘푸른,185
185,벽산블루밍1단지,186
186,다성이즈빌(387-4),187
187,사당우성3,188
188,신일해피트리,189
189,대림현대,190
190,청솔(시영7),191
191,보라매삼성,192
192,올림픽파크힐,193
193,목동효성,194
194,고척파크푸르지오,195
195,신정두산위브,196
196,푸르지오시티,197
197,답십리청솔우성,198
198,한양마이라움,199
199,미아동부센트레빌,200
200,한남더힐,201
201,청암1단지,202
202,공릉우성아파트,203
203,대림e-편한세상,204
204,래미안트리베라1단지,205
205,용산파크타워(24-0),206
206,삼익그린2차,207
207,꿈의숲롯데캐슬,208
208,주공2,209
209,마포래미안푸르지오3단지,210
210,북한산푸르지오,211
211,가락한일유앤아이,212
212,방학동삼성래미안2,213
213,성안마을청구,214
214,브라운스톤 암사아파트,215
215,서초아크빌,216
216,삼성,217
217,두산2,218
218,개포한신,219
219,잠실한솔,220
220,서초힐스,221
221,문래동삼환,222
222,보람2단지,223
223,금호자이2차,224
224,신현대9차,225
225,창동한신휴플러스(621-69),226
226,대우월드마크마포,227
227,주공19단지(창동 리버타운),228
228,동문,229
229,면목삼익,230
230,동부화이트빌(2동),231
231,월곡래미안루나밸리,232
232,은마,233
233,삼성타운,234
234,예성그린캐슬1차,235
235,북한산힐스테이트1차아파트,236
236,마곡수명산파크4단지,237
237,우성아파트,238
238,신세계2차,239
239,마젤란,240
240,미성,241
241,텐즈힐(2구역),242
242,경향,243
243,롯데캐슬클래식,244
244,북한산 힐스테이트7차,245
245,동양파라곤(2),246
246,남서울힐스테이트,247
247,삼익파크맨션,248
248,대주파크빌아파트,249
249,정릉하이츠빌1단지,250
250,고덕주공9,251
251,회기힐스테이트,252
252,주공1단지,253
253,홍제삼성래미안,254
254,가양2단지(성지),255
255,대림강변,256
256,현대하이페리온,257
257,대창센시티,258
258,북한산현대홈타운,259
259,삼성동힐스테이트 1단지,260
260,래미안장안2차,261
261,원명,262
262,동아그린,263
263,바비엥3,264
264,타워팰리스2,265
265,남산타운,266
266,묵동자이(2단지),267
267,롯데캐슬갤럭시,268
268,신월시영,269
269,삼성래미안,270
270,개봉푸르지오,271
271,영풍마드레빌,272
272,동아에코빌,273
273,아이파크종암동 2차,274
274,참누리아파트,275
275,반포미도2차아파트,276
276,래미안세레니티,277
277,트리지움,278
278,한강현대,279
279,양천벽산블루밍2단지,280
280,래미안하이리버,281
281,홍제원현대(459-0),282
282,대상,283
283,서초1차e-편한세상,284
284,한양2,285
285,래미안대치팰리스,286
286,래미안신반포팰리스,287
287,행당 한진타운,288
288,우방,289
289,경남,290
290,길음뉴타운1단지(래미안길음1차),291
291,삼성청담공원아파트,292
292,목동신시가지9,293
293,삼각산아이원,294
294,시영2단지(라이프)아파트,295
295,래미안퍼스티지,296
296,파크리오,297
297,씨티아모리움,298
298,신정6현대,299
299,온수힐스테이트,300
300,삼호,301
301,관악푸르지오,302
302,중화동건영아파트,303
303,중곡1단지,304
304,현대2,305
305,상계주공2(저층),306
306,대우,307
307,한스타워,308
308,영화참마음,309
309,삼환,310
310,목동청구한신아파트,311
311,안암동삼성래미안,312
312,주공8,313
313,뉴캐슬,314
314,불광롯데캐슬,315
315,우리유앤미,316
316,은빛2단지,317
317,광나루현대,318
318,라이프101동(544)102동(544-1),319
319,백련산힐스테이트1차,320
320,초안산신도브래뉴,321
321,DMC파크뷰자이2단지,322
322,삼익세라믹,323
323,방화5,324
324,래미안공덕5차,325
325,현진리버파크,326
326,라인,327
327,동성,328
328,푸른마을3,329
329,주공4단지,330
330,센츄리,331
331,우성1,332
332,독립문삼호,333
333,현대리버빌1지구,334
334,신당아르브,335
335,블루힐하우스,336
336,아스테리움 용산,337
337,삼익대청아파트,338
338,청백4,339
339,돈암코오롱하늘채,340
340,서초포레스타5단지,341
341,경동윈츠리버,342
342,은평뉴타운 박석고개(힐스테이트12단지),343
343,진흥아파트,344
344,비즈트위트바이올렛5차,345
345,한솔,346
346,강동LG자이,347
347,돈암동 해피트리,348
348,더샵스타시티,349
349,신내 데시앙포레,350
350,관악드림(동아),351
351,대방1차e-편한세상,352
352,현대8(803동),353
353,늘푸른동아,354
354,배재현대,355
355,이연아마빌레,356
356,래미안서초유니빌,357
357,더하이어,358
358,그린플러스 구로 해담채2,359
359,갤러리아 포레,360
360,이수힐스테이트,361
361,삼성한사랑1,362
362,텐즈힐아파트(1단지),363
363,송파파인타운3단지,364
